#  JD          J           K  
 2458653.3   6.00 .01    4.79 .01  
 2458686.3   5.96 .00    4.76 .01  
 2458706.3   5.86 .01    4.71 .01  
 2458721.2   5.83 .01    4.70 .01  
 2458735.2   5.83 .01    4.68 .01  
 2458875.6   5.91 .00    4.76 .00  
 2458889.6   5.98 .00    4.81 .01  
 2458909.5   5.95 .01    4.78 .00  
 2458921.6   5.92 .00    4.75 .00  
 2458949.5   5.82 .00    4.67 .00  
 2458963.4   5.83 .00    4.68 .00  
 2458980.4   5.89 .00    4.72 .00  
 2459020.4   6.01 .01    4.81 .01  
 2459036.4   5.91 .01    4.74 .01  
 2459067.3   5.83 .01    4.67 .00  
 2459073.3   5.82 .01    4.68 .01  
 2459288.6   5.83 .00    4.66 .00  
 2459306.5   5.83 .01    4.67 .01  
 2459326.4   5.91 .00    4.75 .00  
